Ref,Val,Package,PosX,PosY,Rot,Side
"C3","2.2n","C_0402_1005Metric",146.270000,-104.330000,90.000000,bottom
"C4","22n","C_0805_2012Metric",137.020000,-100.750000,0.000000,bottom
"C5","0u24","C_1206_3216Metric",141.345000,-104.050000,0.000000,bottom
"C6","4n","C_0603_1608Metric",144.145000,-101.250000,180.000000,bottom
"C7","0u1","C_0805_2012Metric",144.812500,-121.850000,-90.000000,bottom
"C8","10n","C_0603_1608Metric",135.612500,-122.175000,-90.000000,bottom
"Q3","BC818W","SOT-323_SC-70",140.512500,-121.800000,90.000000,bottom
"R1","38k","R_1210_3225Metric",136.532500,-103.650000,180.000000,bottom
"R2","8k","R_0603_1608Metric",142.812500,-121.875000,-90.000000,bottom
"R3","10k","R_1210_3225Metric",140.570000,-100.087500,-90.000000,bottom
"R4","2k2","R_1210_3225Metric",148.512500,-121.700000,180.000000,bottom
"R5","6m","R_1210_3225Metric",137.070000,-97.287500,-90.000000,bottom
"R6","800","R_0603_1608Metric",144.770000,-103.725000,90.000000,bottom
"R8","2k2","R_1210_3225Metric",148.475000,-125.400000,0.000000,bottom
"R9","3k3","R_0603_1608Metric",136.125000,-119.700000,180.000000,bottom
"R10","330","R_0603_1608Metric",137.612500,-122.200000,-90.000000,bottom
"U1","UC3842_SOIC16","SOIC-16W_7.5x10.3mm_P1.27mm",142.650000,-112.500000,-90.000000,bottom
"C1","68u","C_Elec_8x10.2",136.450000,-117.600000,0.000000,top
"C2","220u","C_Elec_6.3x7.7",143.212500,-76.000000,0.000000,top
"C9","68u","C_Elec_8x10.2",150.050000,-117.600000,180.000000,top
"D2","V6PWL45","TO-252-2_TabPin1",136.850000,-106.275000,-90.000000,top
"J1","VIN","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",141.610000,-126.600000,0.000000,top
"J2","VOUT","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",144.650000,-68.400000,180.000000,top
"L1","180u","L_Toroid_Vertical_L24.6mm_W15.5mm_P11.44mm_Pulse_KM-4",143.050000,-94.940000,180.000000,top
"Q1","VND7NV04","TO-252-2",146.450000,-106.640000,-90.000000,top
"R7","200m","R_2816_7142Metric",154.450000,-102.587500,90.000000,top
